# DVT Execution Times — Full Integration Test Matrix
# Date: 2026-03-01
# Project: trial_18_all_commands/Coke_DB (merged with trial_17 cloud models)
# Total models: 67 | Seeds: 11 (9 small + 2 large 1M-row benchmark) | Tests: 25 | Snapshots: 1
# Targets: pg_docker, mysql_docker, mssql_docker, oracle_docker, mariadb_docker, pg_dev, dbx_dev, disf_dev
# NOTE: sf_dev is READ ONLY — excluded from writes
# NOTE: transactions_b.csv (1M rows) and transactions_c.csv (1M rows) excluded from adapter seed
#       (adapter inserts row-by-row — would take hours). These are seeded via --spark only on pg_dev.
#
# Format: COMMAND | TARGET | RESULT | TIME
# ================================================================================

# PHASE 1: dvt seed (adapter) --full-refresh — 2026-03-01 23:34:10
dvt run --full-refresh (Docker models)             | mysql_docker     | PASS=24 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=24          |   350s
dvt run --full-refresh (Docker models)             | mssql_docker     | PASS=24 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=24          |   328s
dvt run --full-refresh (Docker models)             | oracle_docker    | PASS=24 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=24          |   415s
dvt run --full-refresh (Docker models)             | mariadb_docker   | PASS=24 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=24          |   350s

# PHASE 9: dvt test (Docker) — 2026-03-02 01:47:15
dvt test                                           | pg_docker        | PASS=25 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=25          |     5s
dvt test                                           | mysql_docker     | PASS=21 WARN=0 ERROR=4 SKIP=0 NO-OP=0 TOTAL=25          |     5s
dvt test                                           | mssql_docker     | PASS=21 WARN=0 ERROR=4 SKIP=0 NO-OP=0 TOTAL=25          |     5s
dvt test                                           | oracle_docker    | PASS=25 WARN=0 ERROR=0 SKIP=0 NO-OP=0 TOTAL=25          |    15s
dvt test                                           | mariadb_docker   | PASS=21 WARN=0 ERROR=4 SKIP=0 NO-OP=0 TOTAL=25          |     4s

# PHASE 10: dvt snapshot (Docker) — 2026-03-02 01:48:54
